out_publicKey,in_publicKey,trust,datetime
"44","37","1","2010-12-04T21:21:37.492270"
"39","45","1","2010-12-05T14:54:32.197810"
"39","7","3","2010-12-05T18:04:34.456190"
"39","44","1","2010-12-05T18:19:38.259590"
"44","39","1","2010-12-05T18:20:11.843950"
"23","17","1","2010-12-06T03:23:01.127720"
"23","19","1","2010-12-06T03:23:07.909550"
"36","46","1","2010-12-06T20:16:19.711780"
"46","36","1","2010-12-06T20:16:52.115990"
"47","1","2","2010-12-07T11:44:30.947280"
"13","7","1","2010-12-07T16:23:36.297210"
"7","13","1","2010-12-07T16:23:51.503030"
"29","51","1","2010-12-11T07:28:54.039520"
"51","29","1","2010-12-11T07:42:58.892610"
"29","52","1","2010-12-11T11:33:56.699860"
"52","29","1","2010-12-11T11:34:40.073600"
"45","39","2","2010-12-11T15:26:00.975100"
"45","53","2","2010-12-12T16:28:26.474850"
"53","45","2","2010-12-12T16:30:12.531100"
"45","54","2","2010-12-12T17:43:48.312730"
"54","45","2","2010-12-12T18:04:22.409860"
"1","54","1","2010-12-12T18:26:32.214740"
"54","1","1","2010-12-12T18:26:47.139060"
"7","3","6","2010-12-12T19:34:22.157600"
"36","41","2","2010-12-12T21:10:37.084040"
"41","36","2","2010-12-12T21:11:12.450440"
"36","21","2","2010-12-13T22:32:52.764330"
"21","36","2","2010-12-13T22:33:28.096040"
"7","36","3","2010-12-14T16:13:05.865240"
"36","7","4","2010-12-14T16:14:58.905110"
"7","53","4","2010-12-15T14:46:41.756540"
"53","7","4","2010-12-15T14:47:12.711840"
"7","55","1","2010-12-15T16:17:37.206320"
"55","7","1","2010-12-16T04:06:16.236370"
"29","7","2","2010-12-18T18:49:57.426190"
"4","57","5","2010-12-19T16:56:58.341650"
"39","21","2","2010-12-19T23:25:58.238340"
"21","39","2","2010-12-19T23:28:48.733220"
"4","61","2","2010-12-20T00:40:18.446240"
"61","4","3","2010-12-20T00:41:12.326030"
"61","20","8","2010-12-20T00:41:24.254020"
"61","2","2","2010-12-20T00:42:07.667000"
"35","65","1","2010-12-21T03:40:38.872480"
"65","35","2","2010-12-21T07:52:28.103070"
"56","1","2","2010-12-21T13:45:57.404080"
"1","56","2","2010-12-21T13:46:35.714700"
"4","66","2","2010-12-22T15:45:23.003520"
"66","4","2","2010-12-22T16:52:22.655140"
"21","7","5","2010-12-24T06:53:24.746180"
"7","20","4","2010-12-26T19:31:10.962180"
"35","69","1","2010-12-27T06:14:32.814440"
"35","70","1","2010-12-27T06:14:39.243800"
"39","69","2","2010-12-27T07:35:41.914750"
"69","39","2","2010-12-27T07:37:36.207210"
"69","35","2","2010-12-27T07:37:43.223400"
"1","71","1","2010-12-27T15:20:38.153030"
"71","1","8","2010-12-27T15:25:51.965270"
"7","28","2","2010-12-27T15:28:08.785850"
"28","7","1","2010-12-27T15:37:14.623280"
"4","72","4","2010-12-28T03:04:59.486440"
"1","74","1","2010-12-28T18:34:34.010070"
"74","1","1","2010-12-28T18:34:40.833930"
"41","75","1","2010-12-28T19:52:41.487500"
"68","64","1","2010-12-29T01:11:45.360080"
"76","7","1","2010-12-29T01:35:43.590490"
"7","76","1","2010-12-29T01:36:30.111300"
"7","19","5","2010-12-29T09:18:36.693580"
"32","23","1","2010-12-29T12:20:57.606490"
"23","32","1","2010-12-29T13:12:20.181000"
"23","20","1","2010-12-29T17:17:35.822820"
"61","77","4","2010-12-29T18:37:20.740700"
"1","78","1","2010-12-30T17:52:53.834320"
"78","1","1","2010-12-30T17:54:29.216870"
"60","41","1","2010-12-31T13:24:00.409470"
"41","60","1","2010-12-31T13:32:19.691230"
"78","60","1","2010-12-31T16:37:40.959550"
"60","78","1","2010-12-31T16:37:59.760950"
"57","4","2","2010-12-31T19:54:14.064750"
"23","69","1","2011-01-01T08:22:00.916410"
"69","23","1","2011-01-01T08:22:17.471960"
"64","68","1","2011-01-01T20:05:57.986440"
"35","79","1","2011-01-02T13:54:39.858250"
"79","35","1","2011-01-02T14:36:31.469850"
"41","4","1","2011-01-03T13:59:23.014000"
"4","41","1","2011-01-03T13:59:37.898160"
"1","68","2","2011-01-03T14:41:28.368950"
"68","1","2","2011-01-03T14:42:05.974950"
"69","28","3","2011-01-04T02:36:30.415000"
"28","69","3","2011-01-04T09:46:32.919250"
"64","80","1","2011-01-04T20:22:22.607020"
"17","81","1","2011-01-04T20:48:14.047630"
"81","17","1","2011-01-04T20:56:54.672320"
"69","62","1","2011-01-05T11:20:10.426300"
"62","69","1","2011-01-05T12:38:00.613020"
"41","83","1","2011-01-05T16:27:49.277060"
"41","104","1","2011-01-05T17:41:04.640710"
"83","41","1","2011-01-05T17:41:17.040650"
"41","86","1","2011-01-05T18:46:57.572140"
"86","41","1","2011-01-05T19:33:43.321410"
"104","41","1","2011-01-05T22:37:48.747720"
"4","87","1","2011-01-06T02:47:10.229960"
"87","4","1","2011-01-06T02:49:46.314040"
"81","69","2","2011-01-07T05:26:10.329600"
"69","81","2","2011-01-07T05:27:56.495340"
"41","89","1","2011-01-07T13:47:52.975690"
"89","41","1","2011-01-07T14:47:09.844660"
"60","87","1","2011-01-07T14:52:12.327320"
"87","60","1","2011-01-07T14:53:19.784120"
"7","89","2","2011-01-07T17:15:42.465410"
"89","7","2","2011-01-07T17:26:33.840820"
"64","94","1","2011-01-08T23:12:55.242390"
"41","70","1","2011-01-09T12:55:19.201790"
"94","64","1","2011-01-09T13:52:18.540060"
"70","95","1","2011-01-09T14:12:01.900780"
"95","70","3","2011-01-09T14:12:34.235110"
"70","41","1","2011-01-09T14:12:35.248310"
"70","35","1","2011-01-09T14:12:42.031950"
"39","17","3","2011-01-10T14:56:21.252550"
"17","39","1","2011-01-10T14:57:18.394910"
"70","96","1","2011-01-11T18:32:01.908360"
"96","70","3","2011-01-12T12:51:33.163310"
"15","97","2","2011-01-13T06:57:38.695150"
"97","15","2","2011-01-13T08:57:56.836280"
"69","99","4","2011-01-13T14:39:56.869450"
"99","69","1","2011-01-13T16:15:08.359730"
"88","7","3","2011-01-13T22:00:57.980440"
"1","81","1","2011-01-14T00:14:02.235210"
"70","15","1","2011-01-14T04:20:43.918450"
"15","70","1","2011-01-14T08:26:33.793960"
"81","1","1","2011-01-14T22:02:39.466320"
"1","101","1","2011-01-16T02:44:33.992060"
"62","54","2","2011-01-16T16:31:37.497920"
"54","62","2","2011-01-16T16:31:53.501810"
"101","1","1","2011-01-16T18:17:44.744380"
"100","101","1","2011-01-16T19:11:14.800150"
"101","103","1","2011-01-16T19:25:55.115820"
"80","25","2","2011-01-17T11:43:51.451860"
"100","60","2","2011-01-18T18:51:06.149790"
"39","4","1","2011-01-19T00:55:59.005240"
"4","39","1","2011-01-19T00:56:11.508880"
"41","105","1","2011-01-19T13:00:35.880870"
"72","4","4","2011-01-20T02:16:05.131720"
"96","106","1","2011-01-20T10:43:16.774260"
"106","96","1","2011-01-20T16:58:13.079070"
"81","107","2","2011-01-21T09:40:29.449480"
"107","81","3","2011-01-21T10:03:58.775340"
"60","108","1","2011-01-21T17:05:15.553230"
"108","60","1","2011-01-21T17:05:36.522860"
"97","68","1","2011-01-22T13:15:15.426160"
"68","97","1","2011-01-22T13:18:44.599480"
"96","107","2","2011-01-23T13:16:33.897020"
"7","109","1","2011-01-24T00:33:09.687330"
"109","7","1","2011-01-24T00:33:17.870820"
"41","110","1","2011-01-25T16:17:12.968920"
"41","68","1","2011-01-25T17:43:34.743130"
"68","41","1","2011-01-25T17:44:40.144980"
"107","96","2","2011-01-26T14:49:45.995240"
"23","7","5","2011-01-26T16:07:42.499740"
"7","111","1","2011-01-26T18:48:43.473090"
"111","7","1","2011-01-26T18:50:47.782870"
"64","112","2","2011-01-26T21:52:21.777220"
"112","64","2","2011-01-26T21:52:48.616530"
"112","77","1","2011-01-27T16:21:50.872740"
"112","115","2","2011-01-27T16:22:24.677090"
"112","60","4","2011-01-27T16:23:23.153620"
"60","112","4","2011-01-27T16:37:24.662240"
"109","39","1","2011-01-28T10:43:32.306410"
"39","109","1","2011-01-28T10:43:40.538090"
"6","114","2","2011-01-29T03:57:37.018700"
"114","39","1","2011-01-29T03:58:03.029420"
"6","32","1","2011-01-29T04:02:03.909770"
"39","114","1","2011-01-29T04:04:38.918630"
"47","7","1","2011-01-31T17:14:20.000510"
"1","119","1","2011-01-31T17:15:02.969600"
"119","1","10","2011-01-31T17:36:24.096980"
"100","1","3","2011-01-31T17:37:07.304840"
"100","7","4","2011-01-31T21:49:43.066030"
"7","100","2","2011-01-31T21:51:08.834350"
"7","47","1","2011-01-31T21:51:58.478760"
"7","122","1","2011-02-01T04:47:53.178610"
"122","7","1","2011-02-01T04:48:01.630510"
"23","108","1","2011-02-01T11:51:22.737480"
"108","23","1","2011-02-01T11:51:32.825960"
"108","104","1","2011-02-01T12:08:21.422800"
"104","108","1","2011-02-01T12:08:47.986780"
"60","56","2","2011-02-01T16:21:42.621430"
"115","77","3","2011-02-01T18:03:01.267980"
"119","127","10","2011-02-01T20:03:50.857140"
"119","25","1","2011-02-01T20:14:33.322480"
"1","2","8","2011-02-02T01:49:03.620730"
"1","76","2","2011-02-02T02:20:15.114680"
"76","1","2","2011-02-02T02:22:04.448430"
"1","23","6","2011-02-02T09:41:11.100190"
"54","129","1","2011-02-02T16:36:52.848570"
"116","7","2","2011-02-02T18:18:53.364170"
"7","116","2","2011-02-02T18:19:33.263210"
"54","13","2","2011-02-02T18:51:53.931200"
"13","54","2","2011-02-02T18:52:44.788680"
"77","39","3","2011-02-03T12:29:57.208890"
"77","15","1","2011-02-03T12:32:15.653610"
"77","6","3","2011-02-03T12:33:11.498490"
"77","1","3","2011-02-03T12:33:16.242310"
"77","23","1","2011-02-03T12:33:34.290120"
"77","28","3","2011-02-03T12:33:55.618680"
"77","115","3","2011-02-03T12:34:04.145720"
"77","112","1","2011-02-03T12:35:11.909550"
"77","131","1","2011-02-03T12:36:39.047210"
"77","61","3","2011-02-03T12:37:24.662100"
"129","54","1","2011-02-03T13:46:19.862660"
"54","2","2","2011-02-03T16:44:31.347340"
"2","54","2","2011-02-03T16:44:54.334360"
"127","119","10","2011-02-03T17:42:59.279220"
"127","132","1","2011-02-03T17:45:29.837120"
"132","127","2","2011-02-03T18:06:00.494580"
"7","133","1","2011-02-03T23:02:03.683500"
"133","7","1","2011-02-03T23:05:59.704000"
"105","41","1","2011-02-04T11:44:22.524800"
"41","64","1","2011-02-04T20:10:52.526000"
"64","41","1","2011-02-04T20:11:57.363290"
"57","110","1","2011-02-04T20:41:08.189500"
"113","125","2","2011-02-05T00:38:25.287050"
"125","113","2","2011-02-05T00:44:04.812140"
"54","7","6","2011-02-05T08:40:25.272070"
"7","54","5","2011-02-05T08:45:57.934630"
"113","23","2","2011-02-05T12:36:22.064910"
"113","135","2","2011-02-05T12:37:04.464410"
"135","113","2","2011-02-05T12:40:23.983480"
"78","36","2","2011-02-07T10:49:08.026240"
"36","78","2","2011-02-07T10:50:04.327660"
"2","132","2","2011-02-07T13:15:09.391370"
"132","2","2","2011-02-07T13:16:25.308810"
"96","15","4","2011-02-08T12:49:19.235000"
"110","57","1","2011-02-08T15:43:56.374600"
"110","41","1","2011-02-08T15:44:03.904230"
"132","28","1","2011-02-08T18:09:14.682670"
"28","132","1","2011-02-08T18:20:40.847240"
"111","1","1","2011-02-09T17:50:37.510400"
"132","134","1","2011-02-09T20:25:58.115840"
"134","132","1","2011-02-09T20:26:04.400100"
"132","100","1","2011-02-09T22:23:24.524920"
"100","132","1","2011-02-09T22:25:56.094970"
"41","137","1","2011-02-10T00:24:00.135420"
"15","96","3","2011-02-10T12:45:11.129640"
"137","41","1","2011-02-10T14:53:21.170880"
"7","137","1","2011-02-10T15:40:41.708830"
"137","7","1","2011-02-10T15:51:58.264300"
"1","138","1","2011-02-10T16:36:57.097340"
"138","1","1","2011-02-10T16:43:24.872550"
"132","138","1","2011-02-10T18:00:06.445620"
"138","132","1","2011-02-10T18:01:11.137070"
"100","111","1","2011-02-10T19:56:01.438170"
"111","100","1","2011-02-10T19:58:42.899550"
"100","64","1","2011-02-10T20:06:07.256670"
"64","100","1","2011-02-10T20:06:58.354830"
"41","140","1","2011-02-11T16:58:41.011760"
"140","41","1","2011-02-11T17:21:14.483560"
"7","60","5","2011-02-11T18:38:32.379070"
"60","100","2","2011-02-11T22:02:44.519340"
"7","141","2","2011-02-11T22:43:26.041120"
"141","134","5","2011-02-12T00:43:29.503310"
"134","141","5","2011-02-12T02:00:46.218130"
"141","7","3","2011-02-12T02:01:26.698580"
"132","21","5","2011-02-12T12:51:39.478190"
"139","132","1","2011-02-12T13:02:31.043440"
"132","139","1","2011-02-12T13:10:17.737910"
"78","132","3","2011-02-12T17:49:02.578380"
"2","3","8","2011-02-12T23:08:27.334040"
"132","142","1","2011-02-13T13:31:49.863330"
"142","132","1","2011-02-13T14:45:01.051870"
"110","142","1","2011-02-13T14:49:44.940840"
"1","110","1","2011-02-13T15:01:33.101080"
"110","1","1","2011-02-13T15:02:28.992670"
"142","110","1","2011-02-13T15:19:47.631650"
"110","76","2","2011-02-13T19:46:40.676120"
"2","142","1","2011-02-13T20:46:13.798080"
"142","2","1","2011-02-13T20:46:19.655960"
"110","143","1","2011-02-13T22:09:53.629030"
"143","110","1","2011-02-13T22:10:23.051500"
"75","132","1","2011-02-14T07:29:04.767900"
"110","134","1","2011-02-14T17:28:08.033480"
"134","110","1","2011-02-14T17:38:10.506270"
"132","144","1","2011-02-14T20:47:30.422010"
"144","132","1","2011-02-14T20:47:39.946410"
"1","145","1","2011-02-15T12:11:03.895030"
"145","1","1","2011-02-15T12:12:15.518580"
"146","2","1","2011-02-15T17:11:43.354180"
"60","147","1","2011-02-15T17:33:11.757320"
"41","148","1","2011-02-15T18:28:59.285160"
"148","41","1","2011-02-15T18:30:15.381510"
"23","113","4","2011-02-15T19:22:16.609980"
"21","132","2","2011-02-15T21:54:44.769680"
"93","81","2","2011-02-16T03:20:14.540980"
"78","149","1","2011-02-16T09:23:06.486890"
"149","150","1","2011-02-16T09:23:43.361950"
"150","149","1","2011-02-16T09:24:34.160620"
"132","75","1","2011-02-16T11:14:26.382820"
"2","110","1","2011-02-16T12:45:31.025210"
"110","2","1","2011-02-16T12:45:38.839640"
"110","144","1","2011-02-16T12:46:00.647920"
"144","110","1","2011-02-16T12:48:46.434740"
"41","147","1","2011-02-16T13:46:50.562120"
"147","41","1","2011-02-16T13:56:35.236260"
"132","152","1","2011-02-16T14:54:51.496720"
"104","153","2","2011-02-16T16:59:20.044230"
"81","93","3","2011-02-16T20:46:54.441350"
"152","154","1","2011-02-16T21:12:52.119660"
"154","152","2","2011-02-16T21:12:52.298700"
"152","75","1","2011-02-16T21:16:25.044100"
"110","155","1","2011-02-16T21:44:24.511010"
"132","156","4","2011-02-16T22:06:37.640310"
"156","132","4","2011-02-16T22:08:07.225600"
"132","113","3","2011-02-16T23:10:03.121140"
"113","132","3","2011-02-16T23:11:20.114820"
"155","110","1","2011-02-16T23:12:17.361820"
"41","157","1","2011-02-17T11:25:15.118710"
"157","41","1","2011-02-17T11:49:04.452890"
"149","132","1","2011-02-17T15:57:07.002160"
"132","149","1","2011-02-17T15:57:21.977740"
"113","158","1","2011-02-17T16:00:22.392420"
"158","113","2","2011-02-17T16:00:28.094060"
"56","7","3","2011-02-17T17:06:04.620580"
"7","56","3","2011-02-17T17:08:13.924640"
"41","132","1","2011-02-18T10:48:45.361150"
"153","104","2","2011-02-18T11:36:40.344320"
"132","41","1","2011-02-18T13:37:39.082000"
"114","1","2","2011-02-18T14:07:56.442430"
"1","114","2","2011-02-18T15:44:53.741430"
"1","111","2","2011-02-18T15:51:34.483870"
"60","160","1","2011-02-18T18:34:19.676710"
"160","60","1","2011-02-18T18:34:41.952730"
"114","149","1","2011-02-19T10:07:47.613910"
"149","114","1","2011-02-19T10:49:42.320690"
"114","146","1","2011-02-19T15:07:30.016770"
"78","146","1","2011-02-19T15:22:00.376480"
"146","78","1","2011-02-19T15:27:41.905710"
"122","78","1","2011-02-19T15:28:04.261150"
"132","78","3","2011-02-19T15:28:22.068960"
"146","114","1","2011-02-19T15:29:49.697100"
"114","21","1","2011-02-19T21:44:27.270330"
"7","161","3","2011-02-19T21:45:38.523990"
"161","7","3","2011-02-19T21:45:49.763480"
"21","114","1","2011-02-19T23:29:56.502470"
"132","104","1","2011-02-20T20:33:49.599320"
"104","132","1","2011-02-20T20:33:56.659290"
"132","157","2","2011-02-21T00:14:25.407870"
"157","132","2","2011-02-21T00:23:58.453330"
"1","7","9","2011-02-21T00:47:36.420740"
"7","1","7","2011-02-21T00:49:06.369320"
"132","162","1","2011-02-21T13:08:05.256660"
"162","132","1","2011-02-21T13:10:59.994650"
"41","163","1","2011-02-21T13:47:56.764200"
"163","41","1","2011-02-21T13:48:13.594490"
"41","162","1","2011-02-21T14:11:37.573460"
"162","41","1","2011-02-21T14:11:57.024480"
"2","149","1","2011-02-21T22:47:15.183330"
"149","2","1","2011-02-21T22:47:29.839650"
"75","41","2","2011-02-22T13:38:35.406330"
"143","81","1","2011-02-22T22:22:18.727080"
"143","80","1","2011-02-22T22:23:47.575060"
"80","143","1","2011-02-22T22:25:43.839730"
"1","165","1","2011-02-23T13:55:10.224050"
"165","1","1","2011-02-23T13:55:18.262500"
"152","166","1","2011-02-23T21:11:02.945980"
"166","152","1","2011-02-23T21:14:40.515370"
"2","166","1","2011-02-23T23:10:15.606030"
"166","2","1","2011-02-23T23:11:33.711340"
"110","104","1","2011-02-24T15:01:45.043510"
"41","167","1","2011-02-24T17:01:18.756800"
"167","41","1","2011-02-24T17:01:53.750060"
"41","168","1","2011-02-24T18:19:49.747160"
"168","41","1","2011-02-24T18:21:47.369110"
"132","169","2","2011-02-25T00:23:31.856200"
"169","132","2","2011-02-25T00:24:19.262400"
"81","149","1","2011-02-25T03:52:59.122490"
"142","170","1","2011-02-25T09:47:18.443120"
"170","142","1","2011-02-25T09:50:45.290180"
"45","171","2","2011-02-25T10:09:24.141900"
"171","45","2","2011-02-25T10:26:09.997530"
"64","166","1","2011-02-25T12:05:34.322620"
"166","64","1","2011-02-25T12:05:59.588500"
"113","166","1","2011-02-25T12:21:57.413380"
"166","113","1","2011-02-25T12:21:57.678840"
"60","104","2","2011-02-25T12:26:29.704680"
"60","172","1","2011-02-25T13:10:30.160800"
"64","3","1","2011-02-25T15:17:30.040550"
"113","173","2","2011-02-25T15:23:14.716770"
"173","113","1","2011-02-25T15:52:31.558060"
"41","174","1","2011-02-25T16:00:48.203430"
"172","60","1","2011-02-25T16:01:27.636760"
"166","156","2","2011-02-25T23:21:19.992090"
"156","166","2","2011-02-25T23:22:17.719320"
"175","7","2","2011-02-26T03:15:56.960500"
"45","176","3","2011-02-26T12:17:55.717220"
"161","144","1","2011-02-26T16:54:04.958100"
"144","161","1","2011-02-26T16:54:28.918730"
"7","166","1","2011-02-26T17:32:30.408350"
"161","177","1","2011-02-26T22:45:15.234660"
"177","161","1","2011-02-26T22:46:01.050620"
"149","129","1","2011-02-27T03:30:55.872740"
"129","149","1","2011-02-27T03:31:08.731690"
"144","178","1","2011-02-27T16:54:31.572320"
"178","144","1","2011-02-27T16:54:43.578290"
"75","1","2","2011-02-27T17:03:20.383020"
"75","179","1","2011-02-27T17:03:30.441390"
"179","75","1","2011-02-27T17:03:44.279720"
"75","62","2","2011-02-27T17:04:52.263190"
"62","75","2","2011-02-27T17:04:58.060620"
"143","173","1","2011-02-28T01:29:57.889210"
"149","173","1","2011-02-28T01:33:13.433900"
"173","149","1","2011-02-28T01:36:04.122140"
"173","143","1","2011-02-28T01:36:55.999400"
"166","180","1","2011-02-28T02:41:52.590710"
"180","166","1","2011-02-28T02:43:16.515950"
"174","41","1","2011-02-28T03:12:55.101850"
"149","81","3","2011-02-28T08:01:56.560880"
"144","143","1","2011-02-28T16:02:15.423540"
"143","144","1","2011-02-28T16:04:57.424670"
"60","148","2","2011-02-28T16:32:40.872980"
"148","60","2","2011-02-28T16:33:05.248440"
"2","156","1","2011-02-28T16:48:35.268960"
"156","2","1","2011-02-28T16:48:44.586190"
"1","19","6","2011-02-28T22:32:34.248750"
"132","181","1","2011-03-01T21:00:53.022730"
"181","132","1","2011-03-01T21:01:30.363110"
"135","181","1","2011-03-01T21:23:53.453050"
"181","135","1","2011-03-01T21:24:32.095090"
"132","159","1","2011-03-01T21:53:09.956880"
"159","132","1","2011-03-01T21:53:31.423460"
"135","143","1","2011-03-01T22:57:50.000070"
"143","135","1","2011-03-01T23:01:24.571140"
"148","182","1","2011-03-01T23:45:20.302150"
"182","148","1","2011-03-01T23:45:33.746160"
"144","181","1","2011-03-01T23:52:51.846380"
"181","144","1","2011-03-01T23:54:03.766560"
"181","183","2","2011-03-02T00:24:27.003210"
"183","181","2","2011-03-02T00:25:51.716720"
"143","183","1","2011-03-02T00:38:14.869640"
"183","143","1","2011-03-02T00:40:03.241810"
"142","64","1","2011-03-02T12:02:00.834160"
"64","142","1","2011-03-02T12:02:12.117050"
"184","7","2","2011-03-02T12:43:31.164810"
"7","184","2","2011-03-02T12:50:14.040300"
"80","7","1","2011-03-02T12:53:38.204910"
"7","78","1","2011-03-02T14:20:49.422490"
"78","7","1","2011-03-02T14:21:14.947160"
"147","179","1","2011-03-02T16:29:41.016910"
"179","147","1","2011-03-02T17:00:58.852420"
"7","185","1","2011-03-03T06:31:47.928230"
"185","7","1","2011-03-03T06:35:11.958030"
"176","45","1","2011-03-03T13:51:32.562690"
"183","186","1","2011-03-03T21:10:00.795270"
"186","183","1","2011-03-03T21:12:08.255710"
"135","187","1","2011-03-03T21:15:54.188790"
"187","135","1","2011-03-03T21:21:11.378170"
"33","7","2","2011-03-03T21:35:12.205180"
"7","33","2","2011-03-03T21:35:19.674340"
"78","144","3","2011-03-04T16:53:28.111650"
"7","188","1","2011-03-04T19:06:40.030250"
"188","7","1","2011-03-04T19:06:49.037800"
"104","189","2","2011-03-04T20:52:29.539860"
"189","104","2","2011-03-04T21:01:15.701620"
"104","190","1","2011-03-05T00:48:39.323780"
"190","104","1","2011-03-05T00:49:19.526820"
"104","110","2","2011-03-06T13:37:49.149310"
"104","191","1","2011-03-06T14:00:45.594580"
"191","104","1","2011-03-06T14:00:55.410550"
"104","113","1","2011-03-06T16:28:42.310540"
"113","104","1","2011-03-06T16:29:26.291330"
"6","173","3","2011-03-06T16:46:39.631640"
"110","7","1","2011-03-07T04:42:07.293250"
"104","171","1","2011-03-07T13:17:32.611230"
"171","104","1","2011-03-07T14:41:44.152520"
"143","192","1","2011-03-07T15:45:54.615140"
"192","143","1","2011-03-07T15:46:29.685150"
"60","159","2","2011-03-07T15:54:31.870500"
"159","60","2","2011-03-07T15:55:24.891710"
"2","1","8","2011-03-07T23:01:37.117870"
"57","25","2","2011-03-07T23:04:17.619490"
"60","178","2","2011-03-08T14:29:17.685160"
"7","35","2","2011-03-09T08:57:54.432620"
"60","193","1","2011-03-09T09:25:13.482630"
"193","60","1","2011-03-09T12:06:31.596650"
"60","194","1","2011-03-09T13:24:24.648410"
"194","178","1","2011-03-09T13:24:52.124040"
"194","60","1","2011-03-09T13:26:33.588840"
"178","194","1","2011-03-09T13:40:30.989440"
"7","195","1","2011-03-09T23:55:38.350090"
"195","7","1","2011-03-09T23:55:59.821890"
"29","60","2","2011-03-10T00:34:34.572950"
"62","196","1","2011-03-10T06:54:05.424690"
"196","62","1","2011-03-10T06:54:29.104070"
"60","29","2","2011-03-10T09:28:19.466240"
"60","191","4","2011-03-10T10:25:16.794340"
"7","156","1","2011-03-12T01:55:11.495710"
"156","7","1","2011-03-12T01:55:16.656400"
"60","198","1","2011-03-12T12:14:45.789860"
"60","199","1","2011-03-12T22:04:23.221530"
"199","60","1","2011-03-12T22:07:35.091010"
"7","200","2","2011-03-13T07:26:01.670100"
"200","7","2","2011-03-13T07:32:31.745180"
"132","198","2","2011-03-13T15:02:16.989140"
"198","132","1","2011-03-13T15:05:17.645930"
"35","7","2","2011-03-15T06:16:51.548030"
"194","201","1","2011-03-15T13:13:56.178690"
"201","194","1","2011-03-15T13:45:26.028630"
"100","202","1","2011-03-15T18:00:23.769900"
"202","100","1","2011-03-15T18:07:00.800520"
"142","203","1","2011-03-15T19:30:49.326840"
"203","142","1","2011-03-15T19:44:43.219000"
"7","204","1","2011-03-15T19:44:48.612610"
"142","60","1","2011-03-15T19:58:10.266570"
"7","110","3","2011-03-15T21:53:16.640970"
"60","205","1","2011-03-15T22:59:28.073080"
"206","201","1","2011-03-16T03:50:03.244890"
"201","206","1","2011-03-16T03:55:38.703260"
"207","7","2","2011-03-16T12:15:02.852170"
